Forma ;Lemma;Analisi ;olivetti_url;;;
ἐνήνοχα;φέρω;perfetto attivo 1ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ἐνήνοχας;φέρω;perfetto attivo 2ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ἐνήνοχε(ν);φέρω;perfetto attivo 3ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ἐνήνοχαμεν;φέρω;perfetto attivo 1ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ἐνήνοχατε;φέρω;perfetto attivo 2ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ἐνήνοχασι;φέρω;perfetto attivo 3ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ὄπωπα;ὁράω;perfetto attivo 1ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ὄπωπας;ὁράω;perfetto attivo 2ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ὄπωπε;ὁράω;perfetto attivo 3ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ὄπωπαμεν;ὁράω;perfetto attivo 1ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ὄπωπατε;ὁράω;perfetto attivo 2ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ὄπωπασι;ὁράω;perfetto attivo 3ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ἐδήδοκα;ἐσθίω;perfetto attivo 1ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ἐδήδοκας;ἐσθίω;perfetto attivo 2ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ἐδήδοκε;ἐσθίω;perfetto attivo 3ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ἐδήδοκαμεν;ἐσθίω;perfetto attivo 1ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ἐδήδοκατε;ἐσθίω;perfetto attivo 2ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ἐδήδοκασι;ἐσθίω;perfetto attivo 3ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ᾕρημαι;αἱρέω;perfetto medio/passivo 1ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
ᾕρησαι;αἱρέω;perfetto medio/passivo 2ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
ᾕρηται;αἱρέω;perfetto medio/passivo 3ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
ᾕρημεθα;αἱρέω;perfetto medio/passivo 1ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
ᾕρησθε;αἱρέω;perfetto medio/passivo 2ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
ᾕρηνται;αἱρέω;perfetto medio/passivo 3ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
εἴρημαι;λέγω;perfetto medio/passivo 1ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
εἴρησαι;λέγω;perfetto medio/passivo 2ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
εἴρηται;λέγω;perfetto medio/passivo 3ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
εἴρημεθα;λέγω;perfetto medio/passivo 1ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
εἴρησθε;λέγω;perfetto medio/passivo 2ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
εἴρηνται;λέγω;perfetto medio/passivo 3ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
ἑώραμαι;ὁράω;perfetto medio/passivo 1ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ἑώρασαι;ὁράω;perfetto medio/passivo 2ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ἑώραται;ὁράω;perfetto medio/passivo 3ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ἑώραμεθα;ὁράω;perfetto medio/passivo 1ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ἑώρασθε;ὁράω;perfetto medio/passivo 2ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ἑώρανται;ὁράω;perfetto medio/passivo 3ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ὦμμαι;ὁράω;perfetto medio/passivo 1ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ὦμσαι;ὁράω;perfetto medio/passivo 2ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ὦμται;ὁράω;perfetto medio/passivo 3ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ὦμμεθα;ὁράω;perfetto medio/passivo 1ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ὦμσθε;ὁράω;perfetto medio/passivo 2ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ὦμνται;ὁράω;perfetto medio/passivo 3ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ἐνήνεγμαι;φέρω;perfetto medio/passivo 1ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=ferw;;;
ἐνήνεγσαι;φέρω;perfetto medio/passivo 2ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=ferw;;;
ἐνήνεγται;φέρω;perfetto medio/passivo 3ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=ferw;;;
ἐνήνεγμεθα;φέρω;perfetto medio/passivo 1ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=ferw;;;
ἐνήνεγσθε;φέρω;perfetto medio/passivo 2ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=ferw;;;
ἐνήνεγνται;φέρω;perfetto medio/passivo 3ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=ferw;;;
ἐδήδεμαι;ἐσθίω;perfetto medio/passivo 1ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ἐδήδεσαι;ἐσθίω;perfetto medio/passivo 2ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ἐδήδεται;ἐσθίω;perfetto medio/passivo 3ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ἐδήδεμεθα;ἐσθίω;perfetto medio/passivo 1ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ἐδήδεσθε;ἐσθίω;perfetto medio/passivo 2ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ἐδήδενται;ἐσθίω;perfetto medio/passivo 3ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ᾑρέθην;αἱρέω;aoristo passivo 1ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
ᾑρέθης;αἱρέω;aoristo passivo 2ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
ᾑρέθη;αἱρέω;aoristo passivo 3ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
ᾑρέθημεν;αἱρέω;aoristo passivo 1ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
ᾑρέθητε;αἱρέω;aoristo passivo 2ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
ᾑρέθησαν;αἱρέω;aoristo passivo 3ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
ἠδέσθην;ἐσθίω;aoristo passivo 1ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ἠδέσθης;ἐσθίω;aoristo passivo 2ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ἠδέσθη;ἐσθίω;aoristo passivo 3ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ἠδέσθημεν;ἐσθίω;aoristo passivo 1ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ἠδέσθητε;ἐσθίω;aoristo passivo 2ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ἠδέσθησαν;ἐσθίω;aoristo passivo 3ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ἐρρήθην;λέγω;aoristo passivo 1ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
ἐρρήθης;λέγω;aoristo passivo 2ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
ἐρρήθη;λέγω;aoristo passivo 3ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
ἐρρήθημεν;λέγω;aoristo passivo 1ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
ἐρρήθητε;λέγω;aoristo passivo 2ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
ἐρρήθησαν;λέγω;aoristo passivo 3ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
ὤφθην;ὁράω;aoristo passivo 1ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ὤφθης;ὁράω;aoristo passivo 2ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ὤφθη;ὁράω;aoristo passivo 3ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ὤφθημεν;ὁράω;aoristo passivo 1ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ὤφθητε;ὁράω;aoristo passivo 2ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ὤφθησαν;ὁράω;aoristo passivo 3ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ἠνέχθην;φέρω;aoristo passivo 1ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=ferw;;;
ἠνέχθης;φέρω;aoristo passivo 2ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=ferw;;;
ἠνέχθη;φέρω;aoristo passivo 3ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=ferw;;;
ἠνέχθημεν;φέρω;aoristo passivo 1ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=ferw;;;
ἠνέχθητε;φέρω;aoristo passivo 2ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=ferw;;;
ἠνέχθησαν;φέρω;aoristo passivo 3ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=ferw;;;
αἱρεθησομαι;αἱρέω;futuro passivo 1ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
αἱρεθησῃ;αἱρέω;futuro passivo 2ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
αἱρεθησεται;αἱρέω;futuro passivo 3ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
αἱρεθησόμεθα;αἱρέω;futuro passivo 1ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
αἱρεθησεσθε;αἱρέω;futuro passivo 2ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
αἱρεθησονται;αἱρέω;futuro passivo 3ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%CE%B1%E1%BC%B1%CF%81%CE%AD%CF%89;;;
ἐδεσθησομαι;ἐσθίω;futuro passivo 1ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ἐδεσθησῃ;ἐσθίω;futuro passivo 2ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ἐδεσθησεται;ἐσθίω;futuro passivo 3ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ἐδεσθησόμεθα;ἐσθίω;futuro passivo 1ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ἐδεσθησεσθε;ἐσθίω;futuro passivo 2ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ἐδεσθησονται;ἐσθίω;futuro passivo 3ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=%E1%BC%90%CF%83%CE%B8%CE%AF%CF%89;;;
ὀφθησομαι;ὁράω;futuro passivo 1ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ὀφθησῃ;ὁράω;futuro passivo 2ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ὀφθησεται;ὁράω;futuro passivo 3ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ὀφθησόμεθα;ὁράω;futuro passivo 1ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ὀφθησεσθε;ὁράω;futuro passivo 2ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ὀφθησονται;ὁράω;futuro passivo 3ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=oraw;;;
ἐνεχθησομαι;φέρω;futuro passivo 1ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=ferw;;;
ἐνεχθησῃ;φέρω;futuro passivo 2ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=ferw;;;
ἐνεχθησεται;φέρω;futuro passivo 3ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=ferw;;;
ἐνεχθησόμεθα;φέρω;futuro passivo 1ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=ferw;;;
ἐνεχθησεσθε;φέρω;futuro passivo 2ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=ferw;;;
ἐνεχθησονται;φέρω;futuro passivo 3ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=ferw;;;
εἶπα;λέγω;aoristo attivo in -α 1ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
εἶπας;λέγω;aoristo attivo in -α 2ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
εἶπε;λέγω;aoristo attivo in -α 3ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
εἶπαμεν;λέγω;aoristo attivo in -α 1ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
εἶπατε;λέγω;aoristo attivo in -α 2ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
εἶπαν;λέγω;aoristo attivo in -α 3ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=legw;;;
ἤνεγκα;φέρω;aoristo attivo in -α 1ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=ferw;;;
ἤνεγκας;φέρω;aoristo attivo in -α 2ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=ferw;;;
ἤνεγκε;φέρω;aoristo attivo in -α 3ª sing.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=ferw;;;
ἤνεγκαμεν;φέρω;aoristo attivo in -α 1ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=ferw;;;
ἤνεγκατε;φέρω;aoristo attivo in -α 2ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=ferw;;;
ἤνεγκαν;φέρω;aoristo attivo in -α 3ª plur.;https://www.grecoantico.com/dizionario-greco-antico.php?parola=ferw;;;